City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,palikir - national government center,6.9248,158.1611,300.73,70,77,1.7,FM,1697662380
345,kenai,60.5544,-151.2583,281.01,75,0,2.57,US,1697662381
346,baharly,38.4362,57.4316,291.76,61,0,3.51,TM,1697662381
347,jamestown,42.097,-79.2353,286.32,59,100,3.09,US,1697662137
348,yuzhno-kurilsk,44.0306,145.8556,287.25,58,99,7.47,RU,1697662381
349,glenwood,41.5425,-87.6023,292.68,58,100,1.34,US,1697662381
350,arraial do cabo,-22.9661,-42.0278,297.13,83,75,5.66,BR,1697662382
351,cuamba,-14.8031,36.5372,295.47,75,85,1.44,MZ,1697662382
352,uturoa,-16.7333,-151.4333,299.51,77,27,5.26,PF,1697662382
353,quellon,-43.1167,-73.6167,286.13,75,48,1.62,CL,1697662382
354,kirakira,-10.4544,161.9205,301.23,75,76,3.58,SB,1697662383
355,minot air force base,48.4209,-101.3391,288.25,68,20,5.66,US,1697662383
356,kristinestad,62.2743,21.376,270.43,76,43,4.41,FI,1697662383
357,haiku-pauwela,20.9219,-156.3051,301.16,61,40,8.23,US,1697662383
358,jertih,5.7336,102.4897,297.39,92,80,1.58,MY,1697662383
359,putian,25.4394,119.0103,293.91,81,97,1.62,CN,1697662231
360,sechura,-5.5569,-80.8222,299.13,59,65,8.89,PE,1697662384
361,lhasa,29.65,91.1,276.34,63,18,2.26,CN,1697662384
362,broome,42.2506,-75.833,288.2,70,100,2.57,US,1697662385
363,mejit,10.2753,170.8646,301.5,77,36,7.19,MH,1697662385
364,riviere-du-loup,47.8304,-69.5342,285.3,76,13,1.54,CA,1697662385
365,mount gambier,-37.8333,140.7667,284.92,51,13,2.89,AU,1697662385
366,tamanrasset,22.785,5.5228,297.1,16,0,2.06,DZ,1697662385
